word,count
terms,73
included,10
wwwgutenbergorg,15
tragedie,1
choller,1
collar,1
dog,8
therefore,42
shall,328
thee,282
weake,4
betweene,3
masters,6
tyrant,3
fought,7
bee,1
ciuill,3
sam,8
comes,68
seruingmen,2
feare,13
marry,25
list,9
nay,55
sir,141
better,34
kinsmen,6
remember,26
fooles,3
hindes,1
vpon,42
coward,7
ho,26
come,260
hold,55
seeke,4
rebellious,4
prophaners,1
neighborstained,1
heare,22
quench,2
purple,2
broyles,1
graue,19
againe,27
time,127
along,10
afternoone,3
pleasure,11
iudgement,3
place,27
auncient,5
drew,2
fiery,7
breathd,3
eares,10
nothing,69
either,21
saw,23
worshipt,1
peerd,1
golden,11
abroad,6
city,6
see,131
stole,4
wher,2
found,24
pursued,2
fled,9
morning,12
seene,6
teares,19
deepe,6
bed,40
light,49
steales,1
himselfe,10
makes,46
vncle,4
bud,2
worme,2
much,110
happy,27
lets,20
cousin,43
strooke,1
went,8
tyrannous,2
without,65
heauie,5
vanity,3
lead,10
sicke,6
waking,3
oppression,5
mine,100
propagate,1
fume,1
sparkling,1
else,42
discreet,1
choking,1
sadly,3
vrgd,3
supposd,2
sheel,1
assailing,1
onely,9
dead,95
examine,2
exquisit,1
blind,5
countie,17
hard,12
liud,1
early,14
get,28
voice,16
welcome,38
earthtreading,1
aprill,1
fennell,1
find,46
written,16
ser,15
pensill,1
writ,14
learned,1
rank,8
whipt,1
godden,1
miserie,2
sisters,1
neeces,1
neece,2
great,56
face,58
crow,3
maintaines,1
heretiques,1
since,50
sight,22
reioyce,2
maidenhead,1
wheres,7
girle,2
iuliet,54
knowest,5
prety,1
age,24
lay,29
dayes,5
christian,12
marie,1
earthquake,1
eleuen,2
laid,13
trow,3
yea,14
backeward,1
iule,4
wretch,7
lefte,1
nurst,2
disposition,8
iuli,12
volume,4
euery,12
content,9
glorie,1
liking,1
giues,5
pantery,1
beseech,20
straight,16
bearing,6
skaring,1
beleeue,5
shooes,2
soles,2
enpearced,1
feathers,2
woe,35
sinke,2
hora,1
rude,12
pricking,1
visage,7
quote,1
sooner,3
game,1
saue,4
burne,3
times,22
going,6
alderman,1
atomies,1
ouer,5
small,23
faries,1
breath,41
tale,16
spanish,1
prayer,5
manes,1
bakes,1
presses,2
idle,5
wind,17
wooes,1
frozen,4
thence,6
misgiues,1
consequence,4
course,14
direct,11
drum,4
napkins,1
potpan,2
ioynstooles,1
plate,3
lookt,2
musitians,1
plaies,2
hall,9
sit,25
aethiops,1
snowy,1
solemnitie,3
storme,2
portly,1
gouernd,1
youth,27
patient,10
respect,6
tricke,1
tremble,5
greeting,5
conuert,1
palmers,3
byth,1
vnrest,1
thanke,6
waxes,3
whats,9
vnknowne,1
loathed,2
danst,1
desire,12
affection,6
lookes,7
vowes,1
venus,2
shot,11
forehead,3
demeanes,2
adiacent,1
raise,5
medler,1
medlers,1
truckle,1
liuery,2
denie,4
iu,4
belonging,1
owes,3
hundred,10
words,47
vttering,1
considering,1
prompt,1
aduenture,2
swearst,1
behauiour,2
trust,8
heardst,1
impute,2
orbe,1
rash,5
sudden,14
next,20
exchange,5
franke,1
bounty,4
fortunes,8
falkners,1
lure,1
caue,2
tongue,51
attending,3
clock,3
forgetting,2
hop,1
prisoner,5
plucks,4
easterne,2
fleckled,1
cheere,1
dry,7
wombe,4
sucking,1
naturall,2
plants,2
opposed,1
worser,3
saluteth,1
earlinesse,1
distemprature,1
sweeter,1
agen,1
plaine,1
findes,1
plainly,1
met,10
maria,1
grones,1
badst,1
spell,1
slow,9
cleft,2
butshaft,1
fights,3
rests,2
button,2
second,41
tall,2
lamentable,6
afflicted,1
pardonmees,1
flowed,1
dowdie,1
eie,1
french,11
counterfait,1
fairely,2
straine,1
curtesie,3
constrains,1
exposition,1
pinke,1
spurs,4
crie,2
sharpe,2
stretches,1
narrow,3
sociable,1
runs,6
meant,6
argument,6
goodly,4
fan,1
troth,3
quatha,1
minute,6
scuruie,1
knaue,4
pet,13
dealing,1
gentlemanlike,1
paines,2
cords,4
tackled,1
top,8
blesse,2
knife,5
versall,1
strook,1
perchance,6
doues,1
hill,4
warme,4
swift,7
waies,2
handsome,2
odly,1
aking,1
church,12
ladder,2
climde,1
toile,1
smile,4
heauens,3
triumph,6
powder,3
consume,1
appetite,3
moderately,1
tardie,1
foot,10
neighbour,3
vnfold,1
imagind,1
happinesse,2
retire,3
need,23
operation,1
cracking,2
reason,22
wakened,1
tutor,3
apt,5
couple,2
mercu,1
minstrels,2
follower,1
affoord,2
terme,1
iniuries,1
ratcatcher,1
forbidden,2
bandying,1
rat,3
faint,4
soundly,2
mortall,3
tibalts,4
effeminate,2
lenitie,1
fury,2
staying,1
companie,2
determine,6
amazd,4
doome,6
discouer,1
bowd,1
tybalts,7
tilts,1
dexterity,2
stout,2
toot,3
iustice,1
exile,8
repent,6
murders,6
phaeton,1
cloudie,1
spred,1
rights,9
winning,1
possest,2
tedious,8
robes,2
wring,2
weale,1
pitteous,1
ashes,3
bedawbd,1
libertie,1
rauen,1
containing,6
gorgeous,2
honestie,1
aquavitae,1
beast,8
memory,11
needly,1
rereward,1
weeping,14
beguild,4
widowed,1
fearfull,1
affliction,3
sowre,2
tydings,2
smilest,1
blessing,8
thinking,9
mixt,1
sinabsoluer,1
mangle,1
aduersities,1
milke,1
knockes,2
mistlike,1
knocks,2
rise,8
conceald,2
fals,1
cursed,8
desperate,16
vnreasonable,1
vnseemely,1
order,9
raylst,1
valour,8
defence,4
slewst,1
courts,1
puttest,1
heed,4
reconcile,2
hasten,2
reuiud,2
doubt,18
wendsday,2
pierst,1
mistie,1
mountaines,1
torchbearer,1
harsh,4
vnpleasing,1
hunting,1
wary,3
bottome,2
failes,1
feeling,8
traitor,20
receit,1
wreake,1
bore,6
carefull,1
barke,3
ebbe,1
blest,3
wrought,4
worthy,4
fa,13
curse,4
smatter,1
prouided,1
stuft,2
mammet,1
stratagems,1
subiect,1
maruelous,1
dispraise,1
minded,1
certaine,1
text,3
abusd,1
wrongst,1
masse,2
alreadie,1
resolution,3
experienst,1
vndertake,1
battlements,3
charnell,1
sculls,1
vnstained,1
wensday,1
drinke,5
liuest,1
fade,1
gouernment,1
shrunke,1
manner,5
vncouerd,1
forsooth,1
peeuish,1
opposition,3
prostrate,1
sort,6
prouision,1
wayward,2
busie,1
necessaries,2
behoouefull,1
viall,1
mixture,2
redeeme,1
healthsome,1
breaths,1
pastrie,1
crowd,1
bell,5
cotqueane,1
mousehunt,1
logs,3
setled,1
catcht,1
hated,1
vncomfortable,1
shouldst,5
bids,6
reasons,5
ordained,1
funerall,1
instruments,2
bells,2
lowre,1
goodfellowes,1
crochets,1
driebeate,1
griping,1
iames,1
m2,1
tarrie,1
capels,2
paper,9
hyre,1
allegater,1
app,4
fierd,1
opression,1
contempt,2
compounds,1
food,6
sick,12
finding,3
suspecting,1
doores,2
notice,11
graues,2
strew,6
hearst,1
employment,3
limbs,3
fierce,5
friendship,2
haughtie,1
crymson,1
leane,1
monster,2
dym,1
inauspicious,1
embrace,5
vnsauory,1
pilot,1
wearie,1
discerne,1
sepulcher,2
steept,1
sisterhood,1
kils,1
safety,5
people,15
wat,2
empty,4
sonnes,1
vntaught,1
cleare,1
ambiguities,1
descent,3
impeach,2
excusd,1
pinde,1
betrothd,1
awaking,1
priuy,1
miscarried,1
rigour,1
writes,1
therewithall,1
ioynture,1
finis,1
editions,12
previous,3
one—the,2
foundation,60
royalties,13
special,7
apply,4
concept,6
except,19
creation,4
printed,6
given,17
associated,21
wwwgutenbergorglicense,3
section,21
redistributing,6
accept,4
intellectual,6
return,23
destroy,10
preserve,4
unprotected,3
displaying,12
attached,3
viewed,3
distributed,30
paragraphs,9
hypertext,5
exporting,3
alternate,3
reasonable,3
royalty,12
profits,3
calculated,3
required,3
clearly,5
address,4
email,9
defect,14
contact,9
considerable,6
defective,11
damaged,4
computer,8
codes,4
refund”,3
described,4
party,7
liable,3
receive,17
received,19
warranties,13
express,6
merchantability,4
types,3
maximum,3
harmless,4
gutenberg™’s,2
remain,7
learn,10
foundation’s,9
federal,6
identification,3
deductible,4
lake,3
takes,15
solicitation,3
treatment,3
professor,3
originator,3
main,7
cover,3
plain,8
vii,2
fortinbras,21
barnardo,30
francisco,11
osric,33
servant,13
sentinels,1
struck,7
relief,1
fantasy,3
fortified,1
heaven,71
break,16
fair,52
warlike,6
majesty,40
sledded,1
knows,7
divide,3
sweaty,1
inform,3
dar’d,1
combat,1
ratified,1
heraldry,2
gaged,1
design’d,1
mettle,2
lawless,2
foresaid,1
motive,6
preparations,1
wars,9
gibber,1
stars,6
dews,1
empire,2
coming,12
i’ll,57
country’s,1
uphoarded,1
vain,7
whether,8
th’extravagant,1
singeth,1
witch,1
o’er,14
advice,4
dumb,6
do’t,9
dear,44
dirge,1
weighing,1
barr’d,1
affair,3
bonds,2
bearers,2
coronation,2
vailed,1
eternity,1
black,13
river,1
haviour,2
forms,3
seem,14
trappings,1
obstinate,1
condolement,1
impious,1
understanding,2
vulgar,2
cried,5
chiefest,1
jocund,2
solid,1
fix’d,3
canon,1
selfslaughter,1
merely,4
hercules,3
post,5
incestuous,3
lordship,10
truant,2
attent,1
waste,5
encounter’d,1
secrecy,3
deliver’d,1
sirs,2
countenance,5
red,2
stay’d,3
grizzled,1
hitherto,2
fare,7
soul,59
o’erwhelm,1
sleep,14
primy,1
bulk,2
temple,1
greatness,1
sustain,1
unmaster’d,1
rear,2
prodigal,4
galls,2
buttons,1
lesson,1
ungracious,2
laying,3
unfledg’d,1
bear’t,1
th’opposed,1
every,15
generous,3
dulls,1
tend,5
key,2
caution—i,1
girl,3
springes,1
extinct,2
amaking,1
mere,3
implorators,1
breathing,4
bawds,1
slander,5
moment,2
talk,8
shrewdly,1
nipping,1
eager,5
draws,6
wont,5
ordnance,3
born,6
manners—that,1
stamp,2
livery,5
scandal,3
goblin,1
canoniz’d,1
hearsed,1
complete,17
impartment,1
flood,1
base,19
roar,2
confin’d,1
crimes,4
harrow,1
porpentine,1
eternal,2
love—,1
know’t,1
sting,4
seemingvirtuous,1
natural,5
radiant,1
link’d,1
juice,1
porches,1
vigour,2
bark’d,1
crust,1
uneffectual,1
stiffly,1
is—and,1
whirling,1
swear,14
truepenny,1
et,1
pioner,1
encumber’d,1
would’,1
speak’,1
perturbed,1
marvellous,2
fencing,1
assault,2
does—what,1
yesterday,2
t’other,1
o’ertook,1
brothel,1
falsehood,2
bias,2
wi’,4
observe,4
ungart’red,1
ankle,1
knocking,1
o’,10
leads,1
denied,4
hasty,2
transformation,1
th’exterior,1
th’understanding,1
gentry,2
trail,2
us’d,1
do—that,1
desires,3
obeys,1
rebuke,1
regards,1
welltook,1
perpend,1
prove,17
wing,2
tablebook,1
wail,5
centre,1
carters,1
breed,4
kissing,2
extremity,3
plumtree,1
in’t—,1
hits,3
world’s,2
deserved,3
bounded,1
dreams,3
forgone,1
sterile,1
firmament,2
quintessence,1
gratis,1
blank,3
estimation,1
pace,3
escoted,1
fifty,2
picture,2
swaddling,1
clouts,1
roscius,1
actors,2
history,2
seneca,1
plautus,1
why—,1
million,6
called,2
aeneas’,1
priam’s,1
slaughter,1
pyrrhus,6
resemble,1
horse,14
trick’d,1
roasted,1
wrath,1
repugnant,1
ilium,1
stoops,1
remorse,1
wheel,3
beard—prithee,1
venom,6
clamour,2
whipping,1
gonzago,3
fiction,1
muddymettled,1
rascal,1
kites,1
foh,1
blench,1
forcing,1
beseech’d,1
espials,1
unseen,6
behav’d,1
wildness,1
ourselves—to,1
helps,1
shocks,1
consummation,1
dispriz’d,1
insolence,1
ills,1
cowards,1
nymph,1
inoculate,1
knaves,1
where’s,2
nowhere,1
powers,4
paintings,1
soldier’s,1
blown,2
blasted,2
seas,2
trippingly,1
lief,2
towncrier,1
periwigpated,1
tear,9
o’erweigh,1
theatre,2
profanely,1
pagan,1
bellowed,1
pitiful,2
distinguish,2
see’st,1
afoot,2
comment,2
unkennel,1
danish,6
enact,2
lying,2
outlive,1
hobbyhorse,2
mutes,2
mallecho,1
clemency,1
patiently,1
posy,1
phoebus’,1
validity,1
grieves,2
anchor’s,1
deeply,1
rock,1
tropically,1
knavish,2
wince,1
withers,1
interpret,1
damnable,1
bellow,1
sleeper’s,1
italian,1
strucken,1
ungalled,1
razed,1
ghost’s,1
pound,2
purgation,1
diseased,1
heels,4
stealers,1
griefs,5
musty,1
toil,1
fret,1
whale,2
by—they,1
witching,1
yawn,1
quake,1
daggers,2
gulf,1
highest,1
mortis’d,1
twofold,3
forestalled,1
pardon’d,2
possess’d,1
justice,7
compell’d,1
struggling,1
stubborn,2
strings,1
retires,1
th’incestuous,1
find’st,1
penetrable,1
wag,2
glow,1
thunders,1
index,1
front,1
lighted,1
blasting,1
err,1
mutine,1
proclaim,2
panders,1
grained,1
stew’d,1
precedent,3
shelf,1
patches—,1
hover,1
cool,1
conjoin’d,1
bodiless,1
utter’d,1
film,1
compost,1
pursy,1
purer,1
pair,4
ravel,2
house’s,1
conclusions,1
fang’d—,1
marshal,19
hoist,1
petard,1
mines,1
brainish,1
threats,1
disease,1
aid,2
chapel,2
poison’d,4
besides,6
demanded,1
replication,1
soaks,1
bestow’d,1
emperor,1
th’other,1
stairs,1
bark,2
aught—,1
homage,2
conjuring,1
rages,1
craves,2
purpos’d,2
spur,5
market,1
scruple,1
coward—i,1
army,1
trick,3
pitied,2
aim,1
cockle,1
sandal,1
shroud,1
betime,1
gis,1
polonius’,1
huggermugger,1
impetuous,1
riotous,1
o’erbears,1
antiquity,1
calm,4
incens’d—let,1
gertrude—,1
guiltless,1
fantastically,1
hey,2
tear—,1
steward,2
document,1
fennel,1
bonny,1
burial—,1
hatchment,1
rite,1
dealt,1
hamlet’,3
acquittance,1
knowing,1
stirr’d,1
gyves,1
slightly,2
timber’d,1
driven,2
perfections,1
imagine—,1
claudio,1
checking,1
practice,4
unworthiest,1
careless,2
graveness,1
incorps’d,1
spark,1
snuff,1
abatements,1
easing,1
contriving,1
foils,6
cataplasm,1
fail,1
prepar’d,1
nonce,1
venom’d,1
brook,2
fantastic,2
element,1
burial,5
se,1
offendendo,1
goes—mark,1
gravemakers,1
digg’d,1
outlives,1
asked,1
yaughan,1
jowls,1
circumvent,1
sexton’s,1
breeding,1
lawyer,1
quillets,1
dirty,1
buyer,1
recoveries,2
dirt,2
inheritor,1
undo,2
gravemaker,1
die—as,1
tann’d,1
whoreson,2
inch,2
likelihood,1
loam,3
converted,1
maimed,1
rites,4
retiring,1
enlarg’d,1
unsanctified,1
wonderwounded,1
eyelids,1
thou’lt,2
crocodile,1
leaping,1
singeing,1
rant,1
rashly,1
pall,1
unseal,1
exact,2
goblins,1
benetted,1
labour’d,1
gave’t,1
seafight,1
sequent,1
thinks’t,1
angle,1
remember—,1
feelingly,1
inventorially,1
dearth,2
concernancy,1
all’s,2
imputation,1
six,9
edified,1
passes,1
bevy,1
commended,1
whensoever,1
foolery,1
punish’d,1
cannons,1
napkin,1
woodcock,1
springe,1
stabs,1
aright,1
standing,2
conquest,2
occurrents,1
ambassador,1
slaughters,1
mistook,2
invite,1
captains,1
soldiers’,1
onethe,1
richard,143
download,9
education,1
editing,1
dollars,2
per,3
dollar,1
expected,1
users,1
promonet,1
unlike,1
tilde,1
ing,1
lia,1
dont,1
licenses,1
charles,1
v120893,1
personae,1
duke,55
hereford,26
mowbray,30
surrey,7
salisbury,11
favourites,2
ross,18
willoughby,15
bishop,8
pierce,4
woodstock,1
keeper,7
groom,7
nobles,5
boistrous,2
highnessno,1
inveterate,1
accuser,1
ire,1
deaf,2
add,3
miscreant,1
wishso,1
sovereignere,1
boast,3
setting,2
alps,1
pawn,4
degree,3
alive,2
unjustly,1
soonbelieving,1
soars,1
impartial,1
unstooping,1
duly,1
sacrament,3
appeald,1
recreant,4
incision,1
norfolks,1
dishonours,1
spotless,1
chest,1
sue,4
coventry,4
chivalry,2
correction,4
offenders,1
branch,1
crackd,2
hackd,1
cowardice,1
widows,1
champion,2
plashy,3
lodgings,1
majestys,1
comest,3
plated,1
depose,4
daringhardy,1
appointed,1
kiss,7
gord,1
regreet,3
victory,1
furbish,1
amazing,1
adverse,1
chains,1
disloyal,2
courageously,1
signal,1
spears,1
civil,2
untund,1
banish,6
determinate,1
dateless,1
hopeless,1
forgo,2
unfeeling,1
clogging,1
blotted,1
glasses,1
shorten,2
wrinkle,2
partyverdict,1
destroyd,3
visits,1
faintly,2
imagine,1
mocks,1
youtli,1
awakd,2
farewells,1
wooing,2
underbearing,1
oysterwench,1
yicld,1
largess,1
deck,1
unstaid,1
seldom,1
undeaf,1
imitation,1
riot,1
happier,1
teeming,2
marys,1
composition,1
childrens,1
nicely,1
misery,1
incaged,1
bondslave,1
darest,2
chasing,1
unkindness,1
kerns,1
patents,2
attorneysgeneral,1
hereof,1
create,1
richly,1
disburdened,1
neer,6
gelded,1
exactions,1
warrd,1
hangeth,1
burdenous,1
sails,1
spy,1
port,1
bay,3
exeter,1
broking,1
hides,1
urge,2
divides,1
thricegracious,1
imaginary,1
arrivd,1
worcester,2
household,4
dissolve,2
surfeit,1
servingman,5
provokd,1
levy,1
unpossible,1
condemnd,2
judgment,1
bristow,3
pieces,1
oceans,1
wearisome,1
bethink,1
whencesoever,1
proclaimed,1
ripen,1
seymour,1
unfelt,1
labours,1
transport,1
deceivable,1
peaceful,2
condition,2
expiration,1
employd,2
abused,1
carver,1
abet,1
loath,1
redress,2
hardly,2
meteors,1
enjoy,2
unrest,1
prisoners,2
unhappied,1
clean,1
sinful,1
felld,1
torn,2
injustice,1
barkloughly,1
salute,1
suck,2
stinging,1
rebellions,1
searching,1
betide,1
stiff,1
yew,1
tellst,1
snakes,1
warmd,1
stories,1
poisond,1
impregnable,1
tradition,1
follies,3
servile,1
inquire,2
discharge,2
alter,1
contains,1
carpet,1
appointments,1
elements,1
thundring,1
awful,1
sceptre,4
omnipotent,1
mustering,1
armies,1
lineal,1
steeds,2
debase,2
submit,1
figurd,1
diggd,1
nightowls,1
bowls,1
adds,1
sire,1
executioner,1
soils,1
unprund,1
wasteful,1
overproud,1
unpleasing,1
downfall,1
performd,1
daring,1
restful,1
marks,1
movd,1
unjust,1
brandish,1
halload,1
liegiver,1
bond,3
tie,1
venice,1
noblesse,1
obscene,1
stirrd,1
infidels,1
tumultuous,1
golgotha,1
woefullest,1
regalia,1
clerk,1
resignation,1
duteous,1
decrees,1
weavdup,1
pilates,1
font,1
lookingglass,1
beholders,1
brittle,2
silent,1
givst,1
conveyers,1
nimbly,1
wednesday,1
resting,1
paw,1
betid,1
coalblack,1
taen,3
wherewithal,1
gathering,1
divorcd,1
mounted,1
steed,1
prime,1
conceal,1
conspiracy,2
groand,1
suspect,1
unthrifty,1
vices,1
begs,1
dugs,1
rehearse,1
prayd,1
hammer,1
postern,1
tending,2
whateer,1
easd,1
string,1
rail,1
tird,1
snatching,1
staggers,1
spencer,1
coffin,2
breathless,1
cain,1
